Dlist,Ditem,plur,Dwavname,Dcond
list1,1,s,dialect_01_s.wav,d_s
list2,1,p,dialect_01_p.wav,d_p
list1,2,s,dialect_02_s.wav,d_s
list2,2,p,dialect_02_p.wav,d_p
list1,3,s,dialect_03_s.wav,d_s
list2,3,p,dialect_03_p.wav,d_p
list1,4,s,dialect_04_s.wav,d_s
list2,4,p,dialect_04_p.wav,d_p
list1,5,s,dialect_05_s.wav,d_s
list2,5,p,dialect_05_p.wav,d_p
list1,6,s,dialect_06_s.wav,d_s
list2,6,p,dialect_06_p.wav,d_p
list3,1,s,dialect_01_s.wav,d_s
list4,1,p,dialect_01_p.wav,d_p
list3,2,s,dialect_02_s.wav,d_s
list4,2,p,dialect_02_p.wav,d_p
list3,3,s,dialect_03_s.wav,d_s
list4,3,p,dialect_03_p.wav,d_p
list3,4,s,dialect_04_s.wav,d_s
list4,4,p,dialect_04_p.wav,d_p
list3,5,s,dialect_05_s.wav,d_s
list4,5,p,dialect_05_p.wav,d_p
list3,6,s,dialect_06_s.wav,d_s
list4,6,p,dialect_06_p.wav,d_p
list5,1,s,dialect_01_s.wav,d_s
list6,1,p,dialect_01_p.wav,d_p
list5,2,s,dialect_02_s.wav,d_s
list6,2,p,dialect_02_p.wav,d_p
list5,3,s,dialect_03_s.wav,d_s
list6,3,p,dialect_03_p.wav,d_p
list5,4,s,dialect_04_s.wav,d_s
list6,4,p,dialect_04_p.wav,d_p
list5,5,s,dialect_05_s.wav,d_s
list6,5,p,dialect_05_p.wav,d_p
list5,6,s,dialect_06_s.wav,d_s
list6,6,p,dialect_06_p.wav,d_p
